file: Tile_015-020-000000_0-000.s0001_e00.tif; corr: 0; position: (29575.30733916466, 11863.364408426933); grid: (8, 3);
file: Tile_015-021-000000_0-000.s0001_e00.tif; corr: 0; position: (33270.810977555404, 11848.775552709609); grid: (9, 3);
file: Tile_015-022-000000_0-000.s0001_e00.tif; corr: 0; position: (36964.301996237424, 11835.151270724564); grid: (10, 3);
file: Tile_015-023-000000_0-000.s0001_e00.tif; corr: 0; position: (40660.90359683818, 11821.928462562973); grid: (11, 3);
file: Tile_015-024-000000_0-000.s0001_e00.tif; corr: 0; position: (44353.71679097036, 11805.726386211405); grid: (12, 3);
file: Tile_015-025-000000_0-000.s0001_e00.tif; corr: 0; position: (48057.702365713136, 11791.738848353772); grid: (13, 3);
file: Tile_015-026-000000_0-000.s0001_e00.tif; corr: 0; position: (51750.16615833668, 11777.25052599451); grid: (14, 3);
file: Tile_015-027-000000_0-000.s0001_e00.tif; corr: 0; position: (55444.57481261727, 11762.414161392859); grid: (15, 3);
file: Tile_015-028-000000_0-000.s0001_e00.tif; corr: 0; position: (59138.393950153724, 11748.08729986896); grid: (16, 3);
file: Tile_015-029-000000_0-000.s0001_e00.tif; corr: 0; position: (62820.99360579386, 11732.791834877971); grid: (17, 3);
file: Tile_015-030-000000_0-000.s0001_e00.tif; corr: 0; position: (66514.07895594987, 11719.594820177575); grid: (18, 3);
file: Tile_015-031-000000_0-000.s0001_e00.tif; corr: 0; position: (70211.95234868868, 11704.228911180675); grid: (19, 3);
file: Tile_015-032-000000_0-000.s0001_e00.tif; corr: 0; position: (73896.21856893215, 11687.59599908867); grid: (20, 3);
file: Tile_015-033-000000_0-000.s0001_e00.tif; corr: 0; position: (77597.90515068918, 11671.223460839981); grid: (21, 3);
file: Tile_015-034-000000_0-000.s0001_e00.tif; corr: 0; position: (81286.71136765723, 11655.382155221705); grid: (22, 3);
file: Tile_015-035-000000_0-000.s0001_e00.tif; corr: 0; position: (84972.62197516335, 11655.026826128553); grid: (23, 3);
file: Tile_015-036-000000_0-000.s0001_e00.tif; corr: 0; position: (88663.37852541171, 11640.075392009625); grid: (24, 3);
file: Tile_015-037-000000_0-000.s0001_e00.tif; corr: 0; position: (92359.52763652336, 11622.611056266069); grid: (25, 3);
file: Tile_015-038-000000_0-000.s0001_e00.tif; corr: 0; position: (96050.1212567871, 11606.61859404113); grid: (26, 3);
file: Tile_015-039-000000_0-000.s0001_e00.tif; corr: 0; position: (99737.50677277514, 11589.346787349481); grid: (27, 3);
file: Tile_015-040-000000_0-000.s0001_e00.tif; corr: 0; position: (103423.05336462939, 11570.271308299518); grid: (28, 3);
file: Tile_015-041-000000_0-000.s0001_e00.tif; corr: 0; position: (107120.71856980247, 11550.146995589523); grid: (29, 3);
file: Tile_015-042-000000_0-000.s0001_e00.tif; corr: 0; position: (110803.42052426323, 11528.669168225184); grid: (30, 3);
file: Tile_015-043-000000_0-000.s0001_e00.tif; corr: 0; position: (114487.98801625235, 11507.051835321145); grid: (31, 3);
file: Tile_015-044-000000_0-000.s0001_e00.tif; corr: 0; position: (118169.37502215069, 11485.043140833543); grid: (32, 3);
file: Tile_015-045-000000_0-000.s0001_e00.tif; corr: 0; position: (121849.4733390027, 11462.702498660597); grid: (33, 3);
file: Tile_015-046-000000_0-000.s0001_e00.tif; corr: 0; position: (125526.29616993124, 11438.030789348304); grid: (34, 3);
file: Tile_015-047-000000_0-000.s0001_e00.tif; corr: 0; position: (129215.64757781883, 11416.572980103956); grid: (35, 3);
file: Tile_015-048-000000_0-000.s0001_e00.tif; corr: 0; position: (132900.09297487908, 11426.113317165502); grid: (36, 3);
file: Tile_015-049-000000_0-000.s0001_e00.tif; corr: 0; position: (136592.75489462458, 11402.495002446369); grid: (37, 3);
file: Tile_015-050-000000_0-000.s0001_e00.tif; corr: 0; position: (140283.83648987103, 11378.65132509292); grid: (38, 3);
file: Tile_015-051-000000_0-000.s0001_e00.tif; corr: 0; position: (143966.10504426016, 11356.777696398007); grid: (39, 3);
file: Tile_015-052-000000_0-000.s0001_e00.tif; corr: 0; position: (147643.47186827532, 11332.602562331289); grid: (40, 3);
file: Tile_015-053-000000_0-000.s0001_e00.tif; corr: 0; position: (151334.0479583986, 11311.844304269725); grid: (41, 3);
file: Tile_015-054-000000_0-000.s0001_e00.tif; corr: 0; position: (155018.31315020914, 11290.805061208557); grid: (42, 3);
file: Tile_015-055-000000_0-000.s0001_e00.tif; corr: 0; position: (158701.94955517998, 11270.906114981422); grid: (43, 3);
file: Tile_015-056-000000_0-000.s0001_e00.tif; corr: 0; position: (162378.99868585495, 11250.370285835117); grid: (44, 3);
file: Tile_015-057-000000_0-000.s0001_e00.tif; corr: 0; position: (166063.3744067941, 11230.062080121992); grid: (45, 3);
file: Tile_015-058-000000_0-000.s0001_e00.tif; corr: 0; position: (169746.90500694234, 11211.871494668594); grid: (46, 3);
file: Tile_015-059-000000_0-000.s0001_e00.tif; corr: 0; position: (173429.65892760357, 11194.347770061984); grid: (47, 3);
file: Tile_015-060-000000_0-000.s0001_e00.tif; corr: 0; position: (177113.24635506776, 11176.234992554106); grid: (48, 3);
file: Tile_015-061-000000_0-000.s0001_e00.tif; corr: 0; position: (180789.2057036017, 11157.847837094334); grid: (49, 3);
file: Tile_015-062-000000_0-000.s0001_e00.tif; corr: 0; position: (184473.2042796337, 11140.513949495318); grid: (50, 3);
file: Tile_015-063-000000_0-000.s0001_e00.tif; corr: 0; position: (188162.04206508934, 11123.921450400921); grid: (51, 3);
file: Tile_015-064-000000_0-000.s0001_e00.tif; corr: 0; position: (191846.96028011892, 11108.16444318281); grid: (52, 3);
file: Tile_015-065-000000_0-000.s0001_e00.tif; corr: 0; position: (195521.5524408667, 11094.760175168522); grid: (53, 3);
